T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
30,Eastern Asia,2005,Percentage of individuals using the internet,15.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2010,Percentage of individuals using the internet,39.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2015,Percentage of individuals using the internet,54.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2018,Percentage of individuals using the internet,63.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2019,Percentage of individuals using the internet,67.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
30,Eastern Asia,2020,Percentage of individuals using the internet,73.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2005,Percentage of individuals using the internet,2.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2010,Percentage of individuals using the internet,7.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2015,Percentage of individuals using the internet,16.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2018,Percentage of individuals using the internet,23.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2019,Percentage of individuals using the internet,30.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
62,South-central Asia,2020,Percentage of individuals using the internet,41.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2000,Percentage of individuals using the internet,2.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2005,Percentage of individuals using the internet,9.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2010,Percentage of individuals using the internet,18.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2015,Percentage of individuals using the internet,31.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2018,Percentage of individuals using the internet,48.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2019,Percentage of individuals using the internet,52.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
35,South-eastern Asia,2020,Percentage of individuals using the internet,57.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2000,Percentage of individuals using the internet,0.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2005,Percentage of individuals using the internet,2.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2010,Percentage of individuals using the internet,7.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2015,Percentage of individuals using the internet,15.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2018,Percentage of individuals using the internet,22.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2019,Percentage of individuals using the internet,29.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
34,Southern Asia,2020,Percentage of individuals using the internet,40.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2005,Percentage of individuals using the internet,10.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2010,Percentage of individuals using the internet,32.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2015,Percentage of individuals using the internet,50.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2018,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2019,Percentage of individuals using the internet,69.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
145,Western Asia,2020,Percentage of individuals using the internet,72.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2000,Percentage of individuals using the internet,18.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2005,Percentage of individuals using the internet,41.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2010,Percentage of individuals using the internet,62.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2015,Percentage of individuals using the internet,74.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2018,Percentage of individuals using the internet,81.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2019,Percentage of individuals using the internet,83.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
150,Europe,2020,Percentage of individuals using the internet,85.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2000,Percentage of individuals using the internet,33.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2005,Percentage of individuals using the internet,45.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
9,Oceania,2010,Percentage of individuals using the internet,57.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
