T32,Internet Usage,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
100,Bulgaria,2000,Percentage of individuals using the internet,5.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2005,Percentage of individuals using the internet,20.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2010,Percentage of individuals using the internet,46.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2015,Percentage of individuals using the internet,56.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2018,Percentage of individuals using the internet,64.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2019,Percentage of individuals using the internet,67.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
100,Bulgaria,2020,Percentage of individuals using the internet,70.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2005,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2010,Percentage of individuals using the internet,2.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2015,Percentage of individuals using the internet,8.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2018,Percentage of individuals using the internet,17.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2019,Percentage of individuals using the internet,18.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
854,Burkina Faso,2020,Percentage of individuals using the internet,22.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2005,Percentage of individuals using the internet,0.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2010,Percentage of individuals using the internet,1.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2015,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2018,Percentage of individuals using the internet,4.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2019,Percentage of individuals using the internet,6.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
108,Burundi,2020,Percentage of individuals using the internet,9.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2000,Percentage of individuals using the internet,1.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2005,Percentage of individuals using the internet,6.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2010,Percentage of individuals using the internet,30.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2015,Percentage of individuals using the internet,42.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2018,Percentage of individuals using the internet,59.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2019,Percentage of individuals using the internet,61.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
132,Cabo Verde,2020,Percentage of individuals using the internet,64.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
116,Cambodia,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
116,Cambodia,2005,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
116,Cambodia,2010,Percentage of individuals using the internet,1.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
116,Cambodia,2015,Percentage of individuals using the internet,18.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2005,Percentage of individuals using the internet,1.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2010,Percentage of individuals using the internet,4.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2015,Percentage of individuals using the internet,18.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2018,Percentage of individuals using the internet,29.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2019,Percentage of individuals using the internet,33.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
120,Cameroon,2020,Percentage of individuals using the internet,37.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2000,Percentage of individuals using the internet,51.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2005,Percentage of individuals using the internet,71.7,Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2010,Percentage of individuals using the internet,80.3,Break in the time series.;Population aged 16 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2015,Percentage of individuals using the internet,90.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2018,Percentage of individuals using the internet,94.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2019,Percentage of individuals using the internet,96.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
124,Canada,2020,Percentage of individuals using the internet,97.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
136,Cayman Islands,2005,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
136,Cayman Islands,2010,Percentage of individuals using the internet,66.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
136,Cayman Islands,2015,Percentage of individuals using the internet,77.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2000,Percentage of individuals using the internet,0.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2005,Percentage of individuals using the internet,0.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2010,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2015,Percentage of individuals using the internet,2.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2018,Percentage of individuals using the internet,5.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2019,Percentage of individuals using the internet,8.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
140,Central African Republic,2020,Percentage of individuals using the internet,10.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2005,Percentage of individuals using the internet,0.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2010,Percentage of individuals using the internet,1.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2015,Percentage of individuals using the internet,3.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2018,Percentage of individuals using the internet,8.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2019,Percentage of individuals using the internet,9.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
148,Chad,2020,Percentage of individuals using the internet,10.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2000,Percentage of individuals using the internet,16.6,Population aged 5 years and over.;Refers to total population.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2005,Percentage of individuals using the internet,31.2,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2010,Percentage of individuals using the internet,45.0,Estimate.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2015,Percentage of individuals using the internet,76.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2018,Percentage of individuals using the internet,84.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2019,Percentage of individuals using the internet,86.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
152,Chile,2020,Percentage of individuals using the internet,88.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2000,Percentage of individuals using the internet,1.8,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2005,Percentage of individuals using the internet,8.5,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2010,Percentage of individuals using the internet,34.3,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2015,Percentage of individuals using the internet,50.3,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.;Population aged 6 years and over.;Users in the last 6 months.;Data refer to permanent residents.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2018,Percentage of individuals using the internet,59.2,"Estimate.;For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2019,Percentage of individuals using the internet,64.1,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
156,China,2020,Percentage of individuals using the internet,70.4,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2000,Percentage of individuals using the internet,27.8,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2005,Percentage of individuals using the internet,56.9,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2010,Percentage of individuals using the internet,72.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2015,Percentage of individuals using the internet,84.9,Population aged 10 years and over.;Users in the last 12 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2018,Percentage of individuals using the internet,90.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2019,Percentage of individuals using the internet,91.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
344,"China, Hong Kong SAR",2020,Percentage of individuals using the internet,92.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2000,Percentage of individuals using the internet,13.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2005,Percentage of individuals using the internet,34.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2010,Percentage of individuals using the internet,55.2,Population aged 3 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2015,Percentage of individuals using the internet,77.6,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2018,Percentage of individuals using the internet,83.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2019,Percentage of individuals using the internet,86.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
446,"China, Macao SAR",2020,Percentage of individuals using the internet,88.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2000,Percentage of individuals using the internet,2.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2010,Percentage of individuals using the internet,36.5,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2015,Percentage of individuals using the internet,55.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2018,Percentage of individuals using the internet,64.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2019,Percentage of individuals using the internet,65.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
170,Colombia,2020,Percentage of individuals using the internet,69.8,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
174,Comoros,2000,Percentage of individuals using the internet,0.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
174,Comoros,2005,Percentage of individuals using the internet,2.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
174,Comoros,2010,Percentage of individuals using the internet,5.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
174,Comoros,2015,Percentage of individuals using the internet,7.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
178,Congo,2000,Percentage of individuals using the internet,0.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
178,Congo,2005,Percentage of individuals using the internet,1.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
178,Congo,2010,Percentage of individuals using the internet,5.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
178,Congo,2015,Percentage of individuals using the internet,7.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
184,Cook Islands,2000,Percentage of individuals using the internet,15.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
184,Cook Islands,2005,Percentage of individuals using the internet,26.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
184,Cook Islands,2010,Percentage of individuals using the internet,35.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
184,Cook Islands,2015,Percentage of individuals using the internet,51.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2000,Percentage of individuals using the internet,5.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2005,Percentage of individuals using the internet,22.1,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2010,Percentage of individuals using the internet,36.5,Users in the last 3 months.;Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2015,Percentage of individuals using the internet,59.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2018,Percentage of individuals using the internet,73.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2019,Percentage of individuals using the internet,81.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
188,Costa Rica,2020,Percentage of individuals using the internet,80.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2000,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2005,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2010,Percentage of individuals using the internet,2.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2015,Percentage of individuals using the internet,16.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2018,Percentage of individuals using the internet,37.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
384,Côte d’Ivoire,2019,Percentage of individuals using the internet,36.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2000,Percentage of individuals using the internet,6.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2005,Percentage of individuals using the internet,33.1,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2010,Percentage of individuals using the internet,56.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2015,Percentage of individuals using the internet,69.8,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2018,Percentage of individuals using the internet,75.3,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2019,Percentage of individuals using the internet,79.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
191,Croatia,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2000,Percentage of individuals using the internet,0.5,Refers only to users with access to the international network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2005,Percentage of individuals using the internet,9.7,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2010,Percentage of individuals using the internet,15.9,Including users of the international network and also those having access only to the Cuban network.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2015,Percentage of individuals using the internet,37.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2018,Percentage of individuals using the internet,62.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2019,Percentage of individuals using the internet,68.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
192,Cuba,2020,Percentage of individuals using the internet,74.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2000,Percentage of individuals using the internet,15.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2005,Percentage of individuals using the internet,32.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2010,Percentage of individuals using the internet,53.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2015,Percentage of individuals using the internet,71.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2018,Percentage of individuals using the internet,84.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2019,Percentage of individuals using the internet,86.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
196,Cyprus,2020,Percentage of individuals using the internet,90.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2000,Percentage of individuals using the internet,9.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2005,Percentage of individuals using the internet,35.3,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2010,Percentage of individuals using the internet,68.8,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2015,Percentage of individuals using the internet,75.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2018,Percentage of individuals using the internet,80.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2019,Percentage of individuals using the internet,80.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
203,Czechia,2020,Percentage of individuals using the internet,81.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
408,Dem. People's Rep. Korea,2000,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
408,Dem. People's Rep. Korea,2005,Percentage of individuals using the internet,0.0,Commercially not available. Local Intranet available in country.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
408,Dem. People's Rep. Korea,2010,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2000,Percentage of individuals using the internet,0.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2005,Percentage of individuals using the internet,0.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2010,Percentage of individuals using the internet,0.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2015,Percentage of individuals using the internet,3.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2018,Percentage of individuals using the internet,11.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2019,Percentage of individuals using the internet,12.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
180,Dem. Rep. of the Congo,2020,Percentage of individuals using the internet,13.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2000,Percentage of individuals using the internet,39.2,E-mail users.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2005,Percentage of individuals using the internet,82.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2010,Percentage of individuals using the internet,88.7,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2015,Percentage of individuals using the internet,96.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2018,Percentage of individuals using the internet,97.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2019,Percentage of individuals using the internet,98.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
208,Denmark,2020,Percentage of individuals using the internet,96.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2000,Percentage of individuals using the internet,0.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2005,Percentage of individuals using the internet,1.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2010,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2015,Percentage of individuals using the internet,22.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2018,Percentage of individuals using the internet,58.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2019,Percentage of individuals using the internet,59.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
262,Djibouti,2020,Percentage of individuals using the internet,59.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
212,Dominica,2000,Percentage of individuals using the internet,8.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
212,Dominica,2005,Percentage of individuals using the internet,38.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
212,Dominica,2010,Percentage of individuals using the internet,47.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
212,Dominica,2015,Percentage of individuals using the internet,65.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2000,Percentage of individuals using the internet,3.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2005,Percentage of individuals using the internet,11.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2010,Percentage of individuals using the internet,31.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2015,Percentage of individuals using the internet,54.2,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2018,Percentage of individuals using the internet,74.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2019,Percentage of individuals using the internet,75.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
214,Dominican Republic,2020,Percentage of individuals using the internet,76.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
218,Ecuador,2000,Percentage of individuals using the internet,1.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
218,Ecuador,2005,Percentage of individuals using the internet,6.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
218,Ecuador,2010,Percentage of individuals using the internet,29.0,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
218,Ecuador,2015,Percentage of individuals using the internet,48.9,Population aged 5 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2022."
